stop_id,stop_name,stop_lon,stop_lat
PR-L-040,18 De Septiembre esq. Pasaje Alegria,-71.25365456399999,-33.01419194399995
PR-L-037,18 De Septiembre esq. Tte. Merino,-71.25456111499994,-33.01773932899994
PR-M-254,18 Norte esq. Av. Almirante Jorge Montt,-71.54969005199996,-33.00514456999997
PR-A-122,1 De Linea esq. Alcalde Alejandro Peralta,-71.39473369799998,-33.05406680899995
PR-M-86,1 Norte esq. 1 Poniente,-71.55267365399999,-33.02244460299994
PR-M-78,1 Norte esq. 1 Poniente,-71.55290658899997,-33.02241242599996
PR-M-81,1 Norte esq. 3 1/3 Oriente,-71.54721410699995,-33.02300924999997
PR-M-79,1 Norte esq. 4 Poniente,-71.55623396799996,-33.021722505999946
PR-M-82,1 Norte esq. 5 1/2 Oriente,-71.54467016199999,-33.02321510199994
PR-M-102,1 Norte esq. 5 Poniente,-71.55741755699995,-33.021558278999976
PR-M-09,1 Norte esq. Av. Los Castanos,-71.54214318199996,-33.02391840299998
PR-M-227,1 Norte esq.  Av. Los Limonares,-71.52038735899998,-33.03809403599996
PR-M-223,1 Norte esq.  Av. Los Limonares,-71.52238752099998,-33.037909594999974
PR-M-43,1 Norte esq.  Av. Sporting,-71.53583277399997,-33.02848963099996
PR-M-07,1 Norte esq. Av. Sporting,-71.53527936499995,-33.02867522299994
PR-M-80,1 Norte esq. Libertad,-71.55085856199997,-33.02252057199996
PR-M-110,1 Norte esq. Los Abetos,-71.52704217399997,-33.03455618999993
PR-M-137,1 Norte esq. Los Abetos,-71.52652411999998,-33.034583804999954
PR-M-215,1 Norte esq. Los Algarrobos,-71.52475829299993,-33.03578731299996
PR-M-198,1 Norte esq. Los Algarrobos,-71.52478338299994,-33.03576628099995
PR-M-214,1 Norte esq. Los Algarrobos,-71.52523036299993,-33.03570077999996
PR-M-08,1 Norte esq. Plaza Miraflores,-71.53173674499999,-33.03124403299995
PR-M-138,1 Norte esq. Plaza Miraflores,-71.53049458299995,-33.03211682799997
PR-M-111,1 Norte esq. Plaza Miraflores,-71.53182095299996,-33.03139810899995
PR-M-42,1 Norte esq. Puente Alonso De Riveros,-71.53967518599995,-33.02551449199996
PR-M-76,1 Norte esq. Puente Alonso De Riveros,-71.53927905899997,-33.025546722999934
PR-M-95,1 Norte esq. Puente Mercado,-71.54563210099997,-33.02330565899996
PR-M-87,1 Norte esq. Puente Quillota,-71.54918168799998,-33.02297123999995
PR-M-176,1 Norte esq. San Martin,-71.55960862999996,-33.02056247699994
PR-C-081,1 Oriente esq. Av. Magallanes,-71.51719809299993,-32.93349001299998
PR-C-083,1 Oriente esq. Centinela,-71.52050923499996,-32.93442066399996
PR-M-107,1 Sur esq. 24 Poniente,-71.52664847099999,-32.98833457099994
PR-M-93,1 Sur esq. 25 Poniente,-71.52745180599999,-32.988427469999976
PR-M-405,21 De Mayo esq. Fabiola,-71.57152267099997,-33.04391842699994
PR-V-454,21 De Mayo esq. Frankfurt,-71.57439088999996,-33.04343341599997
PR-V-464,21 De Mayo esq. Lauca,-71.57656493299999,-33.04247336399993
PR-M-385,21 De Mayo esq. Pasaje 2,-71.57259009399996,-33.04157860099997
PR-M-369,21 De Mayo esq. Pasaje Fabiola,-71.57158862099993,-33.04409378399998
PR-V-449,21 De Mayo esq. Rio Aconcagua,-71.57737786099995,-33.04135797299995
PR-M-587,21 Norte esq. Calle 4,-71.53820644499996,-33.00547734999998
PR-M-237,21 Norte esq. Calle 4,-71.53825560999996,-33.00555794099995
PR-M-582,21 Norte esq. Calle 7,-71.54076137699997,-33.00462888399994
PR-M-594,21 Norte esq. Calle 7,-71.54050798799994,-33.004713031999984
PR-M-583,21 Norte esq. Quillota,-71.53552114299998,-33.00636907799998
PR-M-10,5 Oriente esq. 2 Norte,-71.54497942499995,-33.02269923599994
PR-M-21,5 Oriente esq. 4 Norte,-71.54436771599995,-33.020385224999984
PR-M-52,5 Oriente esq. 8 Norte,-71.54334228199997,-33.01672926599997
PR-M-53,5 Oriente esq. Quillota,-71.54269606599996,-33.014546517999975
PR-M-77,6 Oriente esq. 13 Norte,-71.54179115899996,-33.01148064399996
PR-M-44,6 Oriente esq. Pasaje Nilo,-71.54162709499997,-33.00946178899994
PR-V-093,Abelardo Diaz esq. El Vigia,-71.64736164899995,-33.05408386999994
PR-L-025,Acceso Liulliu esq. Callejon Los Naranjos,-71.21696939799995,-33.06298216599998
PR-M-353,A Diego Portales esq. Arturo Prat,-71.57174456699994,-33.02660609099996
PR-L-110,Adolfo Eastman esq. Bulnes,-71.19772538399997,-33.00036388799998
PR-O-111,Adolfo Eastman esq. Callejon El Boldo,-71.20264298699993,-33.00065586599993
PR-O-109,Adolfo Eastman esq. Carlos Swett,-71.19170488299994,-32.999370821999946
PR-O-108,Adolfo Eastman esq. Carlos Swett,-71.19115657799995,-32.99914920899994
PR-L-114,Adolfo Eastman esq. Cay Cay,-71.22122357199999,-32.99720814999995
PR-O-104,Adolfo Eastman esq. Diego Portales,-71.18628045399998,-32.99811472899995
PR-L-070,Adolfo Eastman esq. El Esfuerzo,-71.24099622299997,-32.994368529999974
PR-O-110,Adolfo Eastman esq. Esmeralda,-71.19328651599994,-32.999658127999965
PR-O-112,Adolfo Eastman esq. F 596,-71.20482093799995,-33.00069938799993
PR-O-115,Adolfo Eastman esq. F 620,-71.21838662099998,-32.99798997099998
PR-L-071,Adolfo Eastman esq. Felgueras,-71.23449383199994,-32.995273200999975
PR-L-075,Adolfo Eastman esq. J Carrera,-71.22675770399997,-32.99629080899996
PR-L-074,Adolfo Eastman esq. J Carrera,-71.22680443399997,-32.99637511099996
